Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0603,1,1uF 50V,
C10,C_0603_,1,100nF,
"C11, C6, C7",C_0402,3,1uF,
"C12, C14, C15, C3, C4",C_0402,5,1uF 25V,
"C17, C18",C_0402,2,4.7uF,
C19,C_1210,1,22uF 35V,
"C2, C20, C23, C24, C25, C26, C27, C29, C30, C31, C32, C33, C34, C36, C37, C38, C39, C40, C41, C43, C44, C45, C46, C47, C48",C_0402,25,100nF,
C22,C_0402,1,33pF,
C28,CP_EIA-7343-31_Kemet-D,1,C_Polarized,C106188
C5,C_0603,1,22uF,
C8,C_0603_,1,10uF 35V,C194427
C9,C_0603_,1,10uF 6.3V,C1691
"D1, D2, D3, D6",D_SOD-123,4,MBR0530,C5204746
"D10, D11, D12, D14, D15, D16, D17, D18, D19, D21, D22, D23, D24, D25, D26, D28, D29, D30, D31, D32, D33, D35, D5, D8, D9",SMD1010,25,XL-1010RGBC-WS2812B,C5349953
D34,DFN1006-2L,1,~,C5137770
J1,XUNPU-FPC-05FB-24PH20,1,Conn_01x26,C2856831
J10,TF_PUSH,1,TF_PUSH,C393941
J4,WAGO-2060-452-998-404,1,BTN1,C2765055
"J5, J7",USB-C-Socket-H,2,USB-C-Socket-V,C709357
J8,WAGO-2060-452-998-404,1,PWR,C2765055
L1,L_4x4,1,10uH,
L2,L_4x4_,1,10uH,
Q1,SOT-23,1,BSS138,C2938375
R1,R_0402,1,0.47R,C2771738
R10,R_0402_,1,39k2,
R11,R_0402_,1,1M,
"R12, R13, R4, R5",R_0402,4,5k1,
"R14, R22, R23, R24, R25, R26, R3, R6, R8",R_0402,9,10K,
R2,R_0402,1,3R,
R7,R_0402,1,100R,
R9,R_0402_,1,124k,C138062
U3,SOT-23-6-MD8942,1,MD8942,C2684786
U4,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
