Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0603,1,1uF 50V,
"C11, C6, C7",C_0402,3,1uF,
"C12, C14, C15, C3, C4",C_0402,5,1uF 25V,
"C17, C18",C_0402,2,4.7uF,
C19,C_0805,1,4.7uF/50V,
C2,C_0402,1,100nF,
C5,C_0603,1,22uF,
"D1, D2, D3",D_SOD-123,3,MBR0530,C5204746
D4,SMD1010,1,XL-1010RGBC-WS2812B,C5349953
D5,D_SOD-123,1,MBR0530,
J1,XUNPU-FPC-05FB-24PH20,1,Conn_01x26,C2856831
J10,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,1,JST-PH-SM3-TBT,C265003
J7,USB-C-Socket-H,1,USB-C-Socket-V,C709357
L1,L_4x4,1,10uH,
Q1,SOT-23,1,BSS138,C2938375
Q2,SOT-23,1,CJ2301,C5224170
Q3,SOT-323_SC-70,1,C179347,C179347
R1,R_0402,1,0.47R,
"R12, R13, R14, R3, R8",R_0402,5,10K,
"R16, R17",R_0402,2,100K,
R2,R_0402,1,3R,
"R4, R5",R_0402,2,5k1,
U1,SOT-23-5,1,TP4054,C668215
U2,SOT-23-5,1,ME6211C33M5G-N,C82942
U4,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
